-999 -999 -999     5.35000 -999.00000    9.57759 -999.00000 -999.00000
-999 -999 -999     4.53300    9.04000    9.36215 -999.00000 -999.00000
-999 -999 -999     4.43800    8.87000    9.15322 -999.00000 -999.00000
-999 -999 -999     7.76500    8.87000    9.00803 -999.00000 -999.00000
-999 -999 -999    10.42200    8.88000    8.95456 -999.00000 -999.00000
-999 -999 -999    10.37000    7.90000    8.93834 -999.00000 -999.00000
-999 -999 -999     9.99200    8.31000    8.91598 -999.00000 -999.00000
-999 -999 -999     7.06700    8.72000    8.84890 -999.00000 -999.00000
-999 -999 -999     5.18800    7.64000    8.72198 -999.00000 -999.00000
-999 -999 -999     5.96700    7.64000    8.58941 -999.00000 -999.00000
-999 -999 -999     8.00800    7.65000    8.49943 -999.00000 -999.00000
-999 -999 -999     5.32500    7.65000    8.40592 -999.00000 -999.00000
-999 -999 -999     4.91700    7.65000    8.28164 -999.00000 -999.00000
-999 -999 -999     5.37900    7.91000    8.16530 -999.00000 -999.00000
-999 -999 -999     7.26700    7.91000    8.08087 -999.00000 -999.00000
-999 -999 -999     8.62100    7.91000    8.03470 -999.00000 -999.00000
-999 -999 -999     6.90000    7.60000    7.98585 -999.00000 -999.00000
-999 -999 -999     5.48600    7.70000    7.90602 -999.00000 -999.00000
-999 -999 -999     6.49200    5.14000    7.82563 -999.00000 -999.00000
-999 -999 -999     7.67500    5.25000    7.77035 -999.00000 -999.00000
-999 -999 -999     8.15000    6.07000    7.73314 -999.00000 -999.00000
-999 -999 -999     9.62900    6.07000    7.71594 -999.00000 -999.00000
-999 -999 -999     5.34800    7.14000    7.67140 -999.00000 -999.00000
-999 -999 -999     6.51700    7.14000    7.59880 -999.00000 -999.00000
-999 -999 -999     6.98700    7.15000    7.54431 -999.00000 -999.00000
-999 -999 -999     7.46300    7.10000    7.50031 -999.00000 -999.00000
-999 -999 -999     3.11700    7.10000    7.42235 -999.00000 -999.00000
-999 -999 -999     4.27500    5.98000    7.31978 -999.00000 -999.00000
-999 -999 -999     5.90000    5.98000    7.24595 -999.00000 -999.00000
-999 -999 -999    -1.52100    5.91000    7.12631 -999.00000 -999.00000
-999 -999 -999    -4.82100    5.89000    6.92795 -999.00000 -999.00000
-999 -999 -999     1.38700    5.32000    6.76582 -999.00000 -999.00000
-999 -999 -999     0.27100    5.26000    6.65029 -999.00000 -999.00000
-999 -999 -999    -3.13300    5.19000    6.50868 -999.00000 -999.00000
-999 -999 -999    -0.62500    5.19000    6.36901 -999.00000 -999.00000
-999 -999 -999     0.47500    5.19000    6.26028 -999.00000 -999.00000
-999 -999 -999    -3.00400    5.08000    6.14140 -999.00000 -999.00000
-999 -999 -999    -1.03300    5.08000    6.01912 -999.00000 -999.00000
-999 -999 -999     1.69600    4.50000    5.93051 -999.00000 -999.00000
-999 -999 -999     5.13300    4.82000    5.88122 -999.00000 -999.00000
-999 -999 -999     3.97900    4.81000    5.84639 -999.00000 -999.00000
-999 -999 -999     4.40900    4.81000    5.80822 -999.00000 -999.00000
-999 -999 -999     1.25400    4.81000    5.75549 -999.00000 -999.00000
-999 -999 -999    -5.39200    4.81000    5.65007 -999.00000 -999.00000
-999 -999 -999    -5.52100    4.81000    5.51335 -999.00000 -999.00000
-999 -999 -999    -3.47900    4.81000    5.39330 -999.00000 -999.00000
-999 -999 -999    -0.61700    4.74000    5.30305 -999.00000 -999.00000
